audit_source	module_name	specificity_class	category	panel_role	description	dr_v16b_claim_status	dr_resid_t2d_bmi_v16b_claim_status	t2d_v16b_claim_status	bmi_v16b_claim_status	dr_ripple_d_v16_z	dr_resid_t2d_bmi_ripple_d_v16_z	t2d_ripple_d_v16_z	bmi_ripple_d_v16_z	dr_ripple_d_v16_empirical_p	dr_resid_t2d_bmi_ripple_d_v16_empirical_p	dr_ripple_d_q_full_library	dr_resid_t2d_bmi_ripple_d_q_full_library	dr_module_specific_rank_q_full_library	dr_resid_t2d_bmi_module_specific_rank_q_full_library	dr_top1_gene	dr_top1_gene_score	dr_n_loci	dr_n_effective_loci	dr_top1_locus_contribution	dr_top5_locus_contribution	dr_v16b_downgrade_reason	dr_resid_t2d_bmi_v16b_downgrade_reason
dr_specific_library_v1_retinal_only_n5000	DR_BASEMENT_MEMBRANE_ECM_REMODELING	DR_residual_only_suggestive	basement_membrane_ecm_remodeling	dr_retinal_vascular_pathobiology	Basement membrane, collagen, laminin and matrix remodeling.	raw_enrichment_only	exploratory_locus_distributed_candidate	negative	negative	0.7099037424188074	1.5655001779454267	0.5468267106952048	-1.356691790484564	0.2315536892621475	0.0375924815036992	0.7409718056388722	0.3007398520295941	0.4399120175964807	0.2335532893421315	LAMC1	14.917756109678338	23	10.244836395243302	0.1267642853907765	0.607113564884907	null_quality_balanced;pseudo_window_stability;multiplicity;top_tail;leave_topk;annotation_sensitivity_balanced	null_quality_balanced;pseudo_window_stability;multiplicity;leave_topk
dr_specific_library_v1_retinal_only_n5000	DR_OXIDATIVE_STRESS_MITOCHONDRIAL_INJURY	DR_residual_suggestive_not_T2D_BMI	oxidative_stress_mitochondrial_injury	dr_metabolic_stress_pathobiology	Oxidative stress response, antioxidant enzymes and mitochondrial injury.	exploratory_locus_distributed_candidate	exploratory_locus_distributed_candidate	negative	negative	1.5734775867739332	1.6723964616054694	-0.1574261697905858	0.2042157383588245	0.022995400919816	0.0267946410717856	0.3679264147170566	0.3007398520295941	0.4399120175964807	0.2335532893421315	DUOX1	2.643423719408833	18	7.911772069747459	0.1979165947789133	0.7035415553773796	null_quality_balanced;pseudo_window_stability;multiplicity	null_quality_balanced;pseudo_window_stability;multiplicity
dr_specific_library_v1_retinal_only_n5000	DR_MULLER_GLIA_NEUROVASCULAR_UNIT	negative_or_non_specific	muller_glia_neurovascular_unit	dr_neurovascular_unit_pathobiology	Muller glia and neurovascular-unit support programs.	negative	negative	negative	negative	0.8745413424983468	1.351302705531701	-0.9199570066349624	-1.4807922203580492	0.131373725254949	0.0675864827034593	0.6054789042191562	0.3604612410851163	0.6612010931147103	0.7460907818436313	GLUL	1.7608351437456329	16	8.083445526515938	0.171419592889286	0.7144610213323876	null_quality_balanced;pseudo_window_stability;multiplicity;leave_topk;annotation_sensitivity_balanced	null_quality_balanced;pseudo_window_stability;multiplicity;leave_topk;annotation_sensitivity_balanced
dr_specific_library_v1_retinal_only_n5000	DR_NEURONAL_PHOTORECEPTOR_STRESS	negative_or_non_specific	neuronal_photoreceptor_stress	dr_neuroretinal_pathobiology	Photoreceptor and retinal neuronal stress markers.	negative	negative	negative	negative	0.9149631297714568	1.0495253812466336	-0.5974323845637859	1.0877545997025515	0.1319736052789442	0.1355728854229154	0.6054789042191562	0.4913303053674979	0.6612010931147103	0.7649670065986802	CNGA1	2.777139391961854	16	3.89517811604274	0.3636914553056702	0.9384785429353876	pseudo_window_stability;multiplicity;leave_topk;annotation_sensitivity_balanced	pseudo_window_stability;multiplicity;leave_topk;annotation_sensitivity_balanced
dr_specific_library_v1_retinal_only_n5000	DR_ENDOTHELIAL_DYSFUNCTION_ACTIVATION	negative_or_non_specific	endothelial_dysfunction_activation	dr_retinal_vascular_pathobiology	Endothelial identity, permeability and inflammatory activation.	negative	negative	negative	negative	0.837901241431919	0.7662971932600944	0.0886414787939421	-0.1499713832423159	0.151369726054789	0.2075584883023395	0.6054789042191562	0.4913303053674979	0.6612010931147103	0.7649670065986802	VWF	2.507941183038371	17	6.213492064805423	0.2753987136015169	0.8098259982221261	pseudo_window_stability;multiplicity;leave_topk;annotation_sensitivity_balanced	pseudo_window_stability;multiplicity;leave_topk;annotation_sensitivity_balanced
dr_specific_library_v1_retinal_only_n5000	DR_BLOOD_RETINA_BARRIER_TIGHT_JUNCTION	negative_or_non_specific	blood_retina_barrier_tight_junction	dr_retinal_vascular_pathobiology	Blood-retina barrier integrity, tight junctions and endothelial barrier transport.	negative	negative	negative	negative	0.5596786757136142	0.0840505815618574	0.4983635152711229	-0.4100099402020991	0.2965406918616277	0.4919016196760647	0.7907751782976739	0.861627674465107	0.9336132773445311	0.9272145570885822	SLC2A1	4.077734264190588	17	2.627367104593298	0.5392274532469653	1.0	pseudo_window_stability;multiplicity;top_tail;leave_topk;annotation_sensitivity_balanced	pseudo_window_stability;multiplicity;leave_topk;annotation_sensitivity_balanced
dr_specific_library_v1_retinal_only_n5000	DR_RPE_VISUAL_CYCLE_RETINOID_METABOLISM	negative_or_non_specific	rpe_visual_cycle_retinoid_metabolism	dr_retinal_rpe_pathobiology	RPE visual-cycle and retinoid metabolism genes.	negative	negative	negative	negative	0.2248176364966241	0.9245349222626864	-1.2579485998937427	0.2248057723535054	0.4419116176764647	0.1627674465106978	0.8214357128574284	0.4913303053674979	0.8806965879551363	0.7460907818436313	PRPH2	2.1112841252335226	15	4.865233959919164	0.3319010207410017	0.9209877079826204	null_quality_balanced;pseudo_window_stability;multiplicity;leave_topk;annotation_sensitivity_balanced	null_quality_balanced;pseudo_window_stability;multiplicity;leave_topk;annotation_sensitivity_balanced
dr_specific_library_v1_retinal_only_n5000	DR_INFLAMMATION_COMPLEMENT	negative_or_non_specific	inflammation_complement	dr_inflammation_pathobiology	Complement cascade, cytokine and innate immune activation.	negative	negative	negative	negative	0.2024142380273021	-0.3012445038453974	0.6225241859124826	0.8408351162861697	0.4663067386522695	0.6624675064987002	0.8214357128574284	0.861627674465107	0.9336132773445311	0.9272145570885822	NFKB1	6.256744507459035	26	4.267600448681535	0.343533251949291	0.9271247217797056	null_quality_balanced;pseudo_window_stability;multiplicity;leave_topk;annotation_sensitivity_balanced	null_quality_balanced;pseudo_window_stability;multiplicity;leave_topk;annotation_sensitivity_balanced
dr_specific_library_v1_retinal_only_n5000	DR_PERICYTE_MURAL_CELL_BIOLOGY	negative_or_non_specific	pericyte_mural_cell_biology	dr_retinal_vascular_pathobiology	Pericyte, mural cell and vascular smooth muscle biology relevant to capillary stability.	negative	negative	negative	negative	0.0842958971932534	0.1295290402648498	0.5373053611801781	-0.0903606408410823	0.5508898220355929	0.4497100579884023	0.8214357128574284	0.861627674465107	0.8759848030393922	0.7649670065986802	PDGFB	2.685666332477028	16	4.138552348197137	0.3608959806909658	0.9194173584624	null_quality_balanced;pseudo_window_stability;multiplicity;leave_topk;annotation_sensitivity_balanced	null_quality_balanced;pseudo_window_stability;multiplicity;leave_topk;annotation_sensitivity_balanced
dr_specific_library_v1_retinal_only_n5000	DR_RPE_PHAGOLYSOSOME_AUTOPHAGY	negative_or_non_specific	rpe_phagolysosome_autophagy	dr_retinal_rpe_pathobiology	RPE phagocytosis, lysosome and autophagy programs relevant to photoreceptor outer-segment turnover.	negative	negative	negative	exploratory_locus_distributed_candidate	0.001977772236525	-0.4387045763048205	1.2234856416456277	1.8128592567728845	0.5558888222355529	0.7046590681863627	0.8214357128574284	0.861627674465107	0.6612010931147103	0.8888888888888888	TFEB	3.5199883445312787	25	6.811091670996716	0.1970485074398052	0.781100925033365	null_quality_balanced;pseudo_window_stability;multiplicity;top_tail;leave_topk;annotation_sensitivity_balanced	null_quality_balanced;pseudo_window_stability;multiplicity;leave_topk;annotation_sensitivity_balanced
